strona;numer;fallstart;RT;ET;ET+RT
L;39;0;1257;14040;15297
P;9;0;820;16443;17263
L;32;1;0;0;0
P;2;0;724;13713;14437
L;0;0;0;0;0
P;2;0;687;13955;14642
L;99;0;1005;17600;18605
P;0;0;914;13408;14322
L;99;0;466;16440;16906
P;0;0;0;0;0
L;0;0;9028;0;0
P;98;0;959;11958;12917
L;99;1;0;0;16655
P;0;0;0;0;0
L;98;0;7779;0;0
P;0;0;0;0;0
L;0;0;0;0;0
P;99;0;527;16586;17113
L;42;1;0;0;13510
P;98;0;785;0;0
L;43;0;985;0;0
P;28;0;2296;0;0
L;0;0;0;0;0
P;32;0;0;0;0
L;9;0;1209;3482;4691
P;32;0;637;17264;17901
L;42;1;0;0;13472
P;43;0;1008;12086;13094
L;14;0;1205;12644;13849
P;98;0;1116;12081;13197
L;99;0;806;16373;17179
P;32;0;416;14313;14729
L;9;0;932;16248;17180
P;0;0;0;0;0
L;43;0;664;12059;12723
P;98;0;1274;12963;14237
L;14;0;1007;12661;13668
P;42;0;1266;12356;13622
L;20;0;990;13527;14517
P;29;0;1168;13790;14958
L;14;0;1258;12687;13945
P;98;0;1062;12168;13230
L;99;0;653;16122;16775
P;32;0;341;14782;15123
L;20;0;1017;13296;14313
P;29;0;932;13479;14411
L;33;1;0;0;13426
P;1;0;926;12254;13180
L;0;0;1368;0;0
P;14;0;1216;12586;13802
L;30;0;1167;15293;16460
P;16;0;1092;14916;16008
L;32;1;0;0;16012
P;99;0;740;16325;17065
L;29;0;942;14498;15440
P;20;0;964;13224;14188
L;23;0;685;13187;13872
P;33;0;713;13216;13929
L;41;1;0;0;14710
P;39;0;864;13919;14783
L;14;0;1392;12298;13690
P;8;0;1936;14467;16403
L;32;1;0;0;15468
P;15;0;1409;13417;14826
L;99;0;991;15803;16794
P;20;0;1071;13029;14100
L;30;0;997;14710;15707
P;16;0;1122;15185;16307
L;33;0;869;13690;14559
P;23;0;801;13602;14403
L;41;0;953;13666;14619
P;39;0;1318;13562;14880
L;15;0;1037;13661;14698
P;8;0;1102;13981;15083
L;16;0;1068;14786;15854
P;7;0;1327;14805;16132
L;30;0;1055;15075;16130
P;33;0;858;12925;13783
L;39;0;1053;14782;15835
P;29;0;991;13834;14825
L;7;0;1057;14821;15878
P;16;0;831;14644;15475
L;23;0;763;13111;13874
P;41;0;737;13648;14385
L;39;0;1119;13918;15037
P;20;0;1153;13297;14450
L;7;0;1511;14210;15721
P;16;0;1165;14411;15576
L;8;0;918;14531;15449
P;15;0;980;13593;14573
L;23;0;731;12993;13724
P;24;0;1379;13948;15327
L;14;0;1298;12844;14142
P;20;0;988;13065;14053
L;7;0;548;14396;14944
P;0;0;0;0;0
L;16;0;835;14759;15594
P;97;0;1060;17104;18164
L;24;0;1023;13688;14711
P;36;0;910;14714;15624
L;23;0;652;13187;13839
P;29;0;787;13789;14576
L;8;0;833;13947;14780
P;15;0;1010;14211;15221
L;7;0;1090;14454;15544
P;10;0;858;15477;16335
L;24;0;676;13638;14314
P;20;0;855;13238;14093
L;36;0;842;14940;15782
P;16;0;866;14840;15706
L;10;0;908;15302;16210
P;29;0;930;13869;14799
L;23;0;782;13305;14087
P;6;0;1028;16015;17043
L;7;0;1081;14606;15687
P;24;0;819;13378;14197
L;36;0;919;15138;16057
P;16;0;935;14750;15685
L;29;0;783;14031;14814
P;11;0;1128;13735;14863
L;33;0;843;13357;14200
P;6;0;903;13650;14553
L;23;0;703;13195;13898
P;11;0;734;13795;14529
L;21;0;1101;14956;16057
P;17;0;1773;13235;15008
L;43;0;1210;12441;13651
P;0;0;0;0;0
L;0;0;0;0;0
P;29;0;1047;13915;14962
L;16;0;801;15114;15915
P;10;0;837;15383;16220
L;17;0;776;13109;13885
P;21;0;875;14887;15762
L;23;0;709;13298;14007
P;33;0;958;12797;13755
L;40;0;991;14375;15366
P;29;0;973;13790;14763
L;17;0;1074;13537;14611
P;6;0;980;13981;14961
L;21;0;691;15017;15708
P;7;0;997;14921;15918
L;40;0;961;14129;15090
P;0;0;0;0;0
L;17;0;757;13167;13924
P;29;0;885;14052;14937
L;36;0;845;14812;15657
P;10;0;787;15297;16084
L;6;0;1260;14239;15499
P;11;0;1302;13694;14996
L;24;0;919;13829;14748
P;21;0;943;14955;15898
L;7;0;939;14841;15780
P;40;0;1086;13782;14868
L;17;1;0;0;13905
P;23;0;689;13197;13886
L;10;1;0;0;16415
P;16;0;946;15007;15953
L;21;0;1085;14811;15896
P;6;0;932;14023;14955
L;40;0;707;14843;15550
P;0;0;0;0;0
L;24;0;1343;14344;15687
P;7;1;0;0;15482
L;0;0;11917;0;0
P;17;0;814;13641;14455
L;24;0;1111;14107;15218
P;0;0;0;0;0
L;17;0;614;13133;13747
P;29;0;932;13814;14746
